quality,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000805.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000813.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000818.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000819.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000677.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000684.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000703.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000719.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000720.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000743.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000755.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000760.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000620.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000624.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000625.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000630.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000643.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000655.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000662.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000663.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000580.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000591.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000597.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000602.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000603.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000608.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000610.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000615.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000933.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000941.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000942.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000954.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000961.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000973.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000974.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000991.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000895.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000896.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000904.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000905.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000910.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000915.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000919.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000923.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000850.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000857.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000858.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000859.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000866.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000876.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000880.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000884.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000821.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000824.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000826.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000834.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000839.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000840.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000844.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000846.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001176.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001192.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001200.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001214.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001221.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001224.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001226.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001232.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001084.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001097.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001098.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001102.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001128.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001136.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001169.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001175.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001045.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001049.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001067.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001071.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001073.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001075.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001077.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001078.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__000997.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001009.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001021.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001027.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001028.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001032.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001043.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001044.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001429.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001433.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001434.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001437.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001443.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001446.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001448.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001462.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001343.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001359.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001378.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001392.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001397.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001399.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001419.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001425.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001301.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001304.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001305.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001314.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001318.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001326.jpg,1,0,1,1.0,0.0,0.0,0.0,,,0,0,1,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001339.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
ds1__platsim_ar_pico_banana_9gb-V__originali__root__001342.jpg,1,0,1,0.0,0.0,0.0,0.0,,,0,1,0,0
