path,label,source,quality,food_category,defect_type,generator
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002159.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002159.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000793.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000793.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds5__raw_vale_id__modificate__zuppa__marcio__gpt_image_1_5__000888.jpg,1,modificate,,ds5__raw_vale_id__modificate__zuppa__marcio__gpt_image_1_5__000888.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002010.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002010.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__carne__crudo__gpt_image_1_mini__001237.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__carne__crudo__gpt_image_1_mini__001237.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001748.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001748.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds5__raw_vale_id__originali__buono__riso_paella__000337.jpg,0,originali,ds5__raw_vale_id__originali__buono__riso_paella__000337.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds4__platsim_whatsapp_vale_id__modificate__pasta__crudo__gpt_image_1_5__000253.jpg,1,modificate,,ds4__platsim_whatsapp_vale_id__modificate__pasta__crudo__gpt_image_1_5__000253.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds2__exp_3_augmented_v6.2_noK__originali__cattivo__frutta_verdura__marcio__001335.jpg,0,originali,ds2__exp_3_augmented_v6.2_noK__originali__cattivo__frutta_verdura__marcio__001335.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__000378.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__000378.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__altro__crudo__gpt_image_1_mini__000287.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__altro__crudo__gpt_image_1_mini__000287.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__riso_paella__bruciato__gpt_image_1_mini__002424.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__riso_paella__bruciato__gpt_image_1_mini__002424.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__riso_paella__crudo__gpt_image_1_5__002460.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__riso_paella__crudo__gpt_image_1_5__002460.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__000100.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__000100.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds2__exp_3_augmented_v6.2_noK__originali__buono__pasta__000633.jpg,0,originali,ds2__exp_3_augmented_v6.2_noK__originali__buono__pasta__000633.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001730.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001730.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__pasta__crudo__gpt_image_1_5__001784.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__pasta__crudo__gpt_image_1_5__001784.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002467.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002467.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000950.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000950.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds2__exp_3_augmented_v6.2_noK__originali__cattivo__frutta_verdura__marcio__001302.jpg,0,originali,ds2__exp_3_augmented_v6.2_noK__originali__cattivo__frutta_verdura__marcio__001302.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__000477.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__000477.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__002061.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__002061.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__pasta__marcio__gpt_image_1_5__001965.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__pasta__marcio__gpt_image_1_5__001965.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001037.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001037.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds6__whatsapp_vale_id__originali__buono__fritti__000087.jpeg,0,originali,ds6__whatsapp_vale_id__originali__buono__fritti__000087.jpeg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001540.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001540.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds5__raw_vale_id__modificate__altro__marcio__gpt_image_1_5__000177.jpg,1,modificate,,ds5__raw_vale_id__modificate__altro__marcio__gpt_image_1_5__000177.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__000309.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__000309.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001829.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001829.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002164.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002164.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds5__raw_vale_id__modificate__altro__marcio__gpt_image_1_5__000140.jpg,1,modificate,,ds5__raw_vale_id__modificate__altro__marcio__gpt_image_1_5__000140.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001956.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001956.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001784.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001784.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__pasta__bruciato__gpt_image_1_mini__001766.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__pasta__bruciato__gpt_image_1_mini__001766.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000856.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000856.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__sushi__marcio__gpt_image_1_5__002600.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__sushi__marcio__gpt_image_1_5__002600.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__carne__bruciato__gpt_image_1_mini__001068.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__carne__bruciato__gpt_image_1_mini__001068.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001000.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001000.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds5__raw_vale_id__originali__buono__dessert__000184.jpg,0,originali,ds5__raw_vale_id__originali__buono__dessert__000184.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds4__platsim_whatsapp_vale_id__originali__buono__pasta__000113.jpg,0,originali,ds4__platsim_whatsapp_vale_id__originali__buono__pasta__000113.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__002357.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__002357.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__002377.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__002377.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001999.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001999.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__riso_paella__bruciato__gpt_image_1_mini__002429.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__riso_paella__bruciato__gpt_image_1_mini__002429.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds3__platsim_raw_vale_id__originali__buono__patatine__000295.jpg,0,originali,ds3__platsim_raw_vale_id__originali__buono__patatine__000295.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000494.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000494.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__000062.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__000062.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds5__raw_vale_id__modificate__pasta__marcio__gpt_image_1_5__000585.jpg,1,modificate,,ds5__raw_vale_id__modificate__pasta__marcio__gpt_image_1_5__000585.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds2__exp_3_augmented_v6.2_noK__originali__cattivo__pizza__bruciato__001396.jpg,0,originali,ds2__exp_3_augmented_v6.2_noK__originali__cattivo__pizza__bruciato__001396.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000554.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000554.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__000481.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__000481.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__002178.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__002178.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds6__whatsapp_vale_id__modificate__patatine__bruciato__gpt_image_1_5__000306.jpeg,1,modificate,,ds6__whatsapp_vale_id__modificate__patatine__bruciato__gpt_image_1_5__000306.jpeg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001313.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001313.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds3__platsim_raw_vale_id__originali__buono__pizza__000301.jpg,0,originali,ds3__platsim_raw_vale_id__originali__buono__pizza__000301.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__burger_panino__crudo__gpt_image_1_5__000620.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__burger_panino__crudo__gpt_image_1_5__000620.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds6__whatsapp_vale_id__modificate__fritti__crudo__gpt_image_1_5__000199.jpeg,1,modificate,,ds6__whatsapp_vale_id__modificate__fritti__crudo__gpt_image_1_5__000199.jpeg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds2__exp_3_augmented_v6.2_noK__originali__buono__altro__000092.jpg,0,originali,ds2__exp_3_augmented_v6.2_noK__originali__buono__altro__000092.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds3__platsim_raw_vale_id__modificate__dessert__ammuffito__gpt_image_1_5__000385.jpg,1,modificate,,ds3__platsim_raw_vale_id__modificate__dessert__ammuffito__gpt_image_1_5__000385.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds3__platsim_raw_vale_id__modificate__altro__marcio__gpt_image_1_5__000183.jpg,1,modificate,,ds3__platsim_raw_vale_id__modificate__altro__marcio__gpt_image_1_5__000183.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds3__platsim_raw_vale_id__modificate__fritti__crudo__gpt_image_1_5__000455.jpg,1,modificate,,ds3__platsim_raw_vale_id__modificate__fritti__crudo__gpt_image_1_5__000455.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000639.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000639.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__sushi__marcio__gpt_image_1_5__002602.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__sushi__marcio__gpt_image_1_5__002602.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds2__exp_3_augmented_v6.2_noK__originali__buono__zuppa__000975.jpg,0,originali,ds2__exp_3_augmented_v6.2_noK__originali__buono__zuppa__000975.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__altro__crudo__gpt_image_1_mini__000232.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__altro__crudo__gpt_image_1_mini__000232.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__riso_paella__bruciato__gpt_image_1_5__002387.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__riso_paella__bruciato__gpt_image_1_5__002387.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002406.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002406.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001153.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001153.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001146.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001146.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds3__platsim_raw_vale_id__modificate__altro__marcio__gpt_image_1_5__000152.jpg,1,modificate,,ds3__platsim_raw_vale_id__modificate__altro__marcio__gpt_image_1_5__000152.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds4__platsim_whatsapp_vale_id__originali__buono__carne__000060.jpg,0,originali,ds4__platsim_whatsapp_vale_id__originali__buono__carne__000060.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds4__platsim_whatsapp_vale_id__modificate__fritti__crudo__gpt_image_1_5__000204.jpg,1,modificate,,ds4__platsim_whatsapp_vale_id__modificate__fritti__crudo__gpt_image_1_5__000204.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__frutta_verdura__bruciato__gpt_image_1_mini__001543.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__frutta_verdura__bruciato__gpt_image_1_mini__001543.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000959.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000959.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__pasta__crudo__gpt_image_1_5__001819.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__pasta__crudo__gpt_image_1_5__001819.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000590.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000590.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__frutta_verdura__ammuffito__gpt_image_1_5__001487.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__frutta_verdura__ammuffito__gpt_image_1_5__001487.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000886.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000886.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002049.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002049.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__002236.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__002236.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001786.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001786.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds6__whatsapp_vale_id__originali__buono__riso_paella__000158.jpg,0,originali,ds6__whatsapp_vale_id__originali__buono__riso_paella__000158.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__002108.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__002108.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001836.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001836.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000493.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000493.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds5__raw_vale_id__originali__buono__altro__000023.jpg,0,originali,ds5__raw_vale_id__originali__buono__altro__000023.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds4__platsim_whatsapp_vale_id__originali__buono__pizza__000138.jpg,0,originali,ds4__platsim_whatsapp_vale_id__originali__buono__pizza__000138.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds5__raw_vale_id__modificate__altro__bruciato__gpt_image_1_mini__000048.jpg,1,modificate,,ds5__raw_vale_id__modificate__altro__bruciato__gpt_image_1_mini__000048.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds2__exp_3_augmented_v6.2_noK__originali__buono__riso_paella__000856.jpg,0,originali,ds2__exp_3_augmented_v6.2_noK__originali__buono__riso_paella__000856.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002334.jpg,1,modificate,,ds1__platsim_ar_pico_banana_9gb-V__modificate__root__002334.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__carne__bruciato__gpt_image_1_5__000854.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__carne__bruciato__gpt_image_1_5__000854.jpg,,
/content/tmp_merged_datasets/merged_training_dataset/originali/ds1__platsim_ar_pico_banana_9gb-V__originali__root__001511.jpg,0,originali,ds1__platsim_ar_pico_banana_9gb-V__originali__root__001511.jpg,,,
/content/tmp_merged_datasets/merged_training_dataset/modificate/ds2__exp_3_augmented_v6.2_noK__modificate__burger_panino__crudo__gpt_image_1_5__000679.jpg,1,modificate,,ds2__exp_3_augmented_v6.2_noK__modificate__burger_panino__crudo__gpt_image_1_5__000679.jpg,,
